Id	Release_Date	Movie	Budget	Domestic_Gross	Worldwide_Gross
371	Dec 10, 2004	Ocean's Twelve	 $110,000,000	 $125,531,634	 $362,989,076
372	Dec 19, 1997	Tomorrow Never Dies	 $110,000,000	 $125,304,276	 $339,504,276
373	Jun 28, 2000	The Patriot	 $110,000,000	 $113,330,342	 $215,300,000
374	Mar 7, 2014	300: Rise of an Empire	 $110,000,000	 $106,580,051	 $330,780,051
375	Dec 17, 2004	The Aviator	 $110,000,000	 $102,608,827	 $208,370,892
376	Dec 21, 2016	Passengers	 $110,000,000	 $100,014,699	 $302,239,672
377	Jan 14, 2011	The Green Hornet	 $110,000,000	 $98,780,042	 $229,155,503
378	Sep 21, 2016	Miss Peregrine’s Home for Peculiar Children	 $110,000,000	 $87,242,834	 $295,986,876
379	Oct 7, 2011	Real Steel	 $110,000,000	 $85,463,309	 $263,880,341
380	Jun 12, 2019	Men in Black: International	 $110,000,000	 $80,001,807	 $253,020,464
381	Jun 11, 2010	The A-Team	 $110,000,000	 $77,222,099	 $177,241,171
382	Jul 31, 2013	The Smurfs 2	 $110,000,000	 $71,017,784	 $348,547,523
383	Mar 9, 2016	The Divergent Series: Allegiant	 $110,000,000	 $66,184,051	 $172,022,517
384	Jun 12, 2009	The Taking of Pelham 123	 $110,000,000	 $65,452,312	 $152,364,370
385	Oct 25, 2013	Ender's Game	 $110,000,000	 $61,737,191	 $127,983,283
386	Apr 2, 2004	Home on the Range	 $110,000,000	 $50,026,353	 $76,482,461
387	Jun 13, 1997	Speed 2: Cruise Control	 $110,000,000	 $48,097,081	 $150,468,000
388	May 6, 2005	Kingdom of Heaven	 $110,000,000	 $47,398,413	 $218,674,938
389	Mar 23, 2017	Ghost in the Shell	 $110,000,000	 $40,563,557	 $167,910,690
390	Jun 16, 2004	Around the World in 80 Days	 $110,000,000	 $24,004,159	 $72,004,159
391	Nov 21, 2003	Dr. Seuss’ The Cat in the Hat	 $109,000,000	 $101,018,283	 $133,818,283
392	Dec 25, 2001	Ali	 $109,000,000	 $58,183,966	 $87,683,966
393	Sep 30, 2015	The Martian	 $108,000,000	 $228,433,663	 $653,609,107
394	Nov 20, 2016	Allied	 $106,000,000	 $40,098,064	 $119,266,661
395	Jul 16, 2004	I, Robot	 $105,000,000	 $144,801,023	 $348,629,585
396	Dec 17, 1999	Stuart Little	 $105,000,000	 $140,015,224	 $298,815,224
397	Nov 25, 2009	The Princess and the Frog	 $105,000,000	 $104,400,899	 $270,997,378
398	Mar 7, 2008	10,000 B.C.	 $105,000,000	 $94,784,201	 $269,065,678
399	Jul 1, 2016	Ice Age: Collision Course	 $105,000,000	 $64,063,008	 $402,156,682
400	Apr 27, 2001	Town & Country	 $105,000,000	 $6,712,451	 $10,364,769
